country,region,plan_name,pub_yr,MPA,MPA_designation,climate_considering,climate_robustness_score
Canada,Canada,Sandwell Provincial Park Purpose Statement and Zoning Plan,2003,Sandwell Provincial Park,Provincial Park,no,NA
Canada,Canada,Santa-Boca Provincial Park Purpose Statement and Zoning Plan,2003,Santa-Boca Provincial Park,Provincial Park,no,NA
Canada,Canada,Sargeant Bay Provincial Park Master Plan,1991,Sargeant Bay Provincial Park,Provincial Park,no,NA
Canada,Canada,Sartine Island Ecological Reserve Purpose Statement,2003,Sartine Island Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Satellite Channel Ecological Reserve Purpose Statement,2003,Satellite Channel Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,SGaan Kinghlas – Bowie Seamount Marine Protected Area Management Plan,2019,SGaan Kinghlas – Bowie Seamount Marine Protected Area,Marine Protected Area,yes,5
Canada,Canada,Shepody National Wildlife Area Management Plan,2018,"Mary's Point Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,NA
Canada,Canada,Sirmilik National Park of Canada Management Plan,2016,Sirmilik National Park of Canada,National Park,yes,8
Canada,Canada,Skwelwil'em Squamish Estuary Wildlife Management Area Management Plan,2007,Skwelwil'em Squamish Estuary Wildlife Management Area,Wildlife Management Area,no,NA
Canada,Canada,Small Inlet Marine Provincial Park Purpose Statement and Zoning Plan,2003,Small Inlet Marine Provincial Park,Marine Provincial Park,no,NA
